id,program_id,module_path,status,notes,timestamp
1,__PIPELINE__,PASS_MARKER,PASS_1_START,"{""pass"": 1, ""repos"": [""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/GaloisGirl_Coding"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/IBM_example-health-apis"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/Martinfx_Cobol"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/abrignoli_COBSOFT"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/bhbandam_AZ-Legacy-Engineering"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/bmcsoftware_vscode-ispw"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/debinix_openjensen"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/gbeine_COBOLUnit"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/lucasrmagalhaes_learning-COBOL"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/neopragma_cobol-unit-test"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/thospfuller_rcoboldi"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses"", ""/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/z390development_z390""]}",2026-05-09T14:43:50.026633+00:00
2,COBCURSES-INIT-PATHNAME,STRATEGY,LLM,kb_recommended=LLM,2026-05-09T15:01:57.498039+00:00
3,COBCURSES-INIT-PATHNAME,TRANSLATE,START,/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses/cobcurses_init_pathname.cob,2026-05-09T15:01:57.501359+00:00
4,COBCURSES-INIT-PATHNAME,TRANSLATE,DONE,method=hybrid,2026-05-09T15:02:10.928651+00:00
5,COBCURSES-INIT-PATHNAME,VALIDATE,PARTIAL,pass_rate=0.00,2026-05-09T15:02:10.929568+00:00
6,COBCURSES-INIT-PATHNAME,LEARN,RECORDED,"{""pass_rate"": 0.0, ""patterns"": [""translation:hybrid"", ""validation:oracle_unavailable"", ""refactor:normalized""], ""repair_status"": ""SKIPPED"", ""validation_status"": ""SKIPPED""}",2026-05-09T15:02:10.930462+00:00
7,COBCURSES-MENU-SD-MENU-ITEMS,STRATEGY,LLM,kb_recommended=LLM,2026-05-09T15:02:10.932604+00:00
8,COBCURSES-MENU-SD-MENU-ITEMS,REFACTOR,OPPORTUNITIES_RECORDED,"4 dead paragraphs, 4 total opportunities",2026-05-09T15:02:10.933539+00:00
9,COBCURSES-MENU-SD-MENU-ITEMS,TRANSLATE,START,/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses/cobcurses_menu_sd_menu_items.cob,2026-05-09T15:02:10.935008+00:00
10,COBCURSES-MENU-SD-MENU-ITEMS,TRANSLATE,DONE,method=hybrid,2026-05-09T15:02:23.529919+00:00
11,COBCURSES-MENU-SD-MENU-ITEMS,VALIDATE,PARTIAL,pass_rate=0.00,2026-05-09T15:02:23.530805+00:00
12,COBCURSES-MENU-SD-MENU-ITEMS,LEARN,RECORDED,"{""pass_rate"": 0.0, ""patterns"": [""translation:hybrid"", ""validation:oracle_unavailable"", ""refactor:normalized"", ""refactor_opportunities:4""], ""repair_status"": ""SKIPPED"", ""validation_status"": ""SKIPPED""}",2026-05-09T15:02:23.531746+00:00
13,COBCURSES-MENU-SD-MENU-MREFS,STRATEGY,LLM,kb_recommended=LLM,2026-05-09T15:02:23.533919+00:00
14,COBCURSES-MENU-SD-MENU-MREFS,REFACTOR,OPPORTUNITIES_RECORDED,"5 dead paragraphs, 5 total opportunities",2026-05-09T15:02:23.534918+00:00
15,COBCURSES-MENU-SD-MENU-MREFS,TRANSLATE,START,/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses/cobcurses_menu_sd_mrefs.cob,2026-05-09T15:02:23.536305+00:00
16,COBCURSES-MENU-SD-MENU-MREFS,TRANSLATE,DONE,method=hybrid,2026-05-09T15:02:37.820415+00:00
17,COBCURSES-MENU-SD-MENU-MREFS,VALIDATE,PARTIAL,pass_rate=0.00,2026-05-09T15:02:37.821535+00:00
18,COBCURSES-MENU-SD-MENU-MREFS,LEARN,RECORDED,"{""pass_rate"": 0.0, ""patterns"": [""translation:hybrid"", ""validation:oracle_unavailable"", ""refactor:normalized"", ""refactor_opportunities:5""], ""repair_status"": ""SKIPPED"", ""validation_status"": ""SKIPPED""}",2026-05-09T15:02:37.822293+00:00
19,SD002090,STRATEGY,LLM,kb_recommended=LLM,2026-05-09T15:02:37.828052+00:00
20,SD002090,REFACTOR,OPPORTUNITIES_RECORDED,"35 dead paragraphs, 35 total opportunities",2026-05-09T15:02:37.829884+00:00
21,SD002090,TRANSLATE,START,/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses/sd002090.cob,2026-05-09T15:02:37.833514+00:00
22,SD002090,TRANSLATE,DONE,method=hybrid,2026-05-09T15:02:49.650158+00:00
23,SD002090,VALIDATE,PARTIAL,pass_rate=0.00,2026-05-09T15:02:49.651224+00:00
24,SD002090,LEARN,RECORDED,"{""pass_rate"": 0.0, ""patterns"": [""translation:hybrid"", ""validation:oracle_unavailable"", ""refactor:normalized"", ""refactor_opportunities:35""], ""repair_status"": ""SKIPPED"", ""validation_status"": ""SKIPPED""}",2026-05-09T15:02:49.651991+00:00
25,COBCURSES-SCI-NOTATION-COMP-2,STRATEGY,LLM,kb_recommended=LLM,2026-05-09T15:02:49.654209+00:00
26,COBCURSES-SCI-NOTATION-COMP-2,REFACTOR,OPPORTUNITIES_RECORDED,"2 dead paragraphs, 2 total opportunities",2026-05-09T15:02:49.655010+00:00
27,COBCURSES-SCI-NOTATION-COMP-2,TRANSLATE,START,/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses/cobcurses_sci_notation_comp_2.cob,2026-05-09T15:02:49.656342+00:00
28,COBCURSES-SCI-NOTATION-COMP-2,TRANSLATE,DONE,method=rule,2026-05-09T15:02:49.659816+00:00
29,COBCURSES-SCI-NOTATION-COMP-2,VALIDATE,PARTIAL,pass_rate=0.00,2026-05-09T15:02:49.660853+00:00
30,COBCURSES-SCI-NOTATION-COMP-2,LEARN,RECORDED,"{""pass_rate"": 0.0, ""patterns"": [""translation:rule"", ""validation:oracle_unavailable"", ""refactor:normalized"", ""refactor_opportunities:2""], ""repair_status"": ""SKIPPED"", ""validation_status"": ""SKIPPED""}",2026-05-09T15:02:49.661864+00:00
31,COBCURSES-TEST-UNITS,STRATEGY,LLM,kb_recommended=LLM,2026-05-09T15:02:49.663774+00:00
32,COBCURSES-TEST-UNITS,REFACTOR,OPPORTUNITIES_RECORDED,"1 dead paragraphs, 1 total opportunities",2026-05-09T15:02:49.664510+00:00
33,COBCURSES-TEST-UNITS,TRANSLATE,START,/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses/cobcurses_test_units.cob,2026-05-09T15:02:49.665438+00:00
34,COBCURSES-TEST-UNITS,TRANSLATE,DONE,method=hybrid,2026-05-09T15:03:01.504042+00:00
35,COBCURSES-TEST-UNITS,VALIDATE,PARTIAL,pass_rate=0.00,2026-05-09T15:03:01.506183+00:00
36,COBCURSES-TEST-UNITS,LEARN,RECORDED,"{""pass_rate"": 0.0, ""patterns"": [""translation:hybrid"", ""validation:oracle_unavailable"", ""refactor:normalized"", ""refactor_opportunities:1""], ""repair_status"": ""SKIPPED"", ""validation_status"": ""SKIPPED""}",2026-05-09T15:03:01.508225+00:00
37,COBCURSES-MENU-SD-FIELDS,STRATEGY,LLM,kb_recommended=LLM,2026-05-09T15:03:01.514344+00:00
38,COBCURSES-MENU-SD-FIELDS,REFACTOR,OPPORTUNITIES_RECORDED,"4 dead paragraphs, 4 total opportunities",2026-05-09T15:03:01.515824+00:00
39,COBCURSES-MENU-SD-FIELDS,TRANSLATE,START,/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses/cobcurses_menu_sd_fields.cob,2026-05-09T15:03:01.518612+00:00
40,COBCURSES-MENU-SD-FIELDS,TRANSLATE,DONE,method=hybrid,2026-05-09T15:03:30.379995+00:00
41,COBCURSES-MENU-SD-FIELDS,VALIDATE,PARTIAL,pass_rate=0.00,2026-05-09T15:03:30.383074+00:00
42,COBCURSES-MENU-SD-FIELDS,LEARN,RECORDED,"{""pass_rate"": 0.0, ""patterns"": [""translation:hybrid"", ""validation:oracle_unavailable"", ""refactor:normalized"", ""refactor_opportunities:4""], ""repair_status"": ""SKIPPED"", ""validation_status"": ""SKIPPED""}",2026-05-09T15:03:30.385346+00:00
43,COBCURSES-MENU-SD-STATES,STRATEGY,LLM,kb_recommended=LLM,2026-05-09T15:03:30.392166+00:00
44,COBCURSES-MENU-SD-STATES,REFACTOR,OPPORTUNITIES_RECORDED,"4 dead paragraphs, 4 total opportunities",2026-05-09T15:03:30.393729+00:00
45,COBCURSES-MENU-SD-STATES,TRANSLATE,START,/home/anonymous/Desktop/cobol_moderniser/samples/X-COBOL_files/ve3wwg_cobcurses/cobcurses_menu_sd_states.cob,2026-05-09T15:03:30.400177+00:00
46,COBCURSES-MENU-SD-STATES,TRANSLATE,DONE,method=hybrid,2026-05-09T15:03:42.687426+00:00
47,COBCURSES-MENU-SD-STATES,VALIDATE,PARTIAL,pass_rate=0.00,2026-05-09T15:03:42.688481+00:00
